day,A - M,N - Z
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,2
13,2,5
14,25,1
15,15,6
16,0,1
17,0,0
18,24,2
19,28,3
20,6,2
21,14,6
22,3,7
23,3,0
24,9,0
25,3,1
26,10,11
27,7,8
28,4,4
29,2,5
30,0,0
31,0,0
